filename	transcription
wavs_1	กลับมาเดินหน้าเต็มรูปแบบไกอาร์หลังจากน้ำท่วมใหญ่ยังมีแผ่นดินที่เป็นที่อยู่ตามเกาะต่างต่างซึ่งเป็นที่อยู่ของชนเผ่าดั้งเดิมและที่มาใหม่ เพื่อการฟอกจิตในโครงการดีไวน์แพนอีกเป็นจำนวนมากโครงการจึงต้องดำเนินต่อไปและการรีเซ็ตไกอาร์จึงเริ่มขึ้นสองทวีปหลักจมสู่ก้นมหาสมุทรเหล่าสถาปนิกและช่างเทคนิคชาวพันธมิตรไฟเรียนรีเซ็ตจัดเปลือกโลกใหม่ด้วยการดึงเอเชียที่เคยเป็นพื้นมหาสมุทรและออสเตรียขึ้นมาจากก้นทะเลเพื่อรองรับให้เป็นที่อยู่อาศัยและการขยายเผ่าพันธุ์มนุษย์ที่โครงการเรียนรู้และฟอกจิตยังคงต้องดำเนินต่อไป กลุ่มฝ่ายแสงของทั้งสองทวีปรู้ตัวล่วงหน้าก่อนการจมของสองทวีปมาก่อนเป็นที่สุด
wavs_2	ของ Respondent การตอบสนอง และ Alchemy กระบวนการแปลงธาตุหรือธาตุแท้ของมนุษย์ หน้า 196 หัวข้อกฎจักรวาลข้อที่ 2 The Law of Correspondences กฎแห่งการตอบสนอง กฎข้อนี้เป็นกฎตายตัว เปลี่ยนแปลงไม่ได้ ซึ่งไม่ว่าคุณจะอยู่บนโลกใบนี้หรือว่าดาวดวงไหนดาวอังคารหรือโรคพระจันทร์กฎข้อนี้ก็ยังควบคุมอยู่ผู้คน 95% จะไม่เข้าใจกฎข้อนี้อย่างลึกซึ้งส่วนคน 5% ที่เข้าใจก็มักจะกลายเป็นพวกนักมายากลผู้วิเศษหรือกลุ่มเล่นอพิญญาหรือผู้ใช้พลังจิตหรือพลังพิเศษไปสง่างาน แอซาบบ โซวิโลลองมองขึ้นไปบนระบบสุริยะของเราดาวเคราะห์ต่างต่างหมุนรอบตัวเอง
wavs_3	เป็นการดึงให้เรากลับมาสู่ความสมดุลทางสภาวะอารมณ์ได้ดียิ่งขึ้น สอง รับผิดชอบสิ่งที่เกิดขึ้นกับชีวิตเรา น้อมรับบทเรียนแห่งชีวิต หยุดการกล่าวโทษปัจจัยภายนอก เช่น เศรษฐกิจไม่ดี สาเหตุที่ฉันเป็นอย่างนี้เพราะคนนี้เป็นคนทำการกล่าวโทษสิ่งอื่นและแก้ตัวว่าตัวเองเป็นเหยื่อกับสถานการณ์ภายนอกนั้นมีความหมายในเชิงพลังงานคือเป็นการบอกให้จักรวาลได้รับรู้ว่าคุณไม่ได้เป็นเจ้าชีวิตตัวเองคุณเป็นเหยื่อของสถานการณ์คุณไม่ได้เป็นคนกำหนดชีวิตของคุณเองทุกอย่างในชีวิตคุณขึ้นอยู่กับปัจจัยภายนอกเท่านั้น ถ้าเผลอมีความคิดแบบนี้เข้ามาเมื่อไหร่ รีบดึงตัวเองกลับมาเปลี่ยนวิธีคิดค่ะ ชีวิตคุณเป็นของคุณ คุณกำหนดเองที่จะใช้ชีวิตในแบบที่คุณเป็นคนเลือกและออกแบบเอง
wavs_4	ส่วนที่หก เดอะแกแล็กติก เฟอร์เดอเรชั่นออฟไลท์ อินฟิสิกัลฟอร์ม สมาชิกสมาพันธ์แสงสว่างในร่างมนุษย์ หน้า ห้าสิบแปด หัวข้อย่อย เลอมูเรีย เดอะแมทเธอร์แลนด์ เลอมูเรีย ทวีปแห่งมารดอน เลอมูเรีย เดอะแมทเธอร์แลนด์ หน้า เจ็ดสิบ มู หน้า เจ็ดสิบหก อีเลฟเว่นเทรด ออฟ โอโซล หน้า แปดสิบสี่ หัวข้อย่อย ดาวน้อย นักเดินทาง หัวข้อ พลังแห่งตัวเลข เด็ด จะก้าวผ่านความซึมเศร้าหลังจากตื่นรู้ได้อย่างไร หน้า เก้าสิบสี่ แปลให้อ่านเล่นค่ะ หน้า หนึ่งร้อยหนึ่ง หัวข้อ พลังแห่งตัวเลขเพื่อการสื่อสาร the cheap network numerology meaning ศูนย์ศูนย์ศูนย์ศูนย์หน้าหนึ่งร้อยสิบ the cheap network ความเชื่อมโยง
wavs_5	ไม่ว่าจะเป็นสถานที่แห่งใดน้องมักจะเจอเหตุการณ์ที่เรียกว่าเห็นวิญญาณเห็นผีตลอดจนชีวิตหาความสงบสุขไม่ได้คอยแต่ระแวงว่าไปตรงไหนจะเจออีกไหมคำถามของน้องพอลคือทำยังไงถึงจะอยู่กับเรื่องราวแบบนี้แล้วใช้ชีวิตอย่างปกติโดยปราศจากความหวาดระแวงและความกลัวได้ ขีดป้าพาน้องพอลตีความของคำว่าผีกลับเข้าไปหาต้นตอนในวัยเด็กว่าทำไมเราถึงเห็นผีทำไมถึงรู้สึกกลัวผี แล้วถามว่าเคยดูหนังการ์ตูนเรื่องแคสเปอร์ผีน่ารักหรือไม่ ถ้าจิตเราบันทึกหรือรับรู้ข้อมูลว่าสิ่งที่เป็นพลังงานที่เราให้ความหมายว่าผี จริงๆแล้วคืออะไร ถามไล่ไปจนรู้ว่าน้องถูกพูดถึง
wavs_6	การให้อภัยคือการปลดปล่อยจิตวิญญาณของเราให้เป็นอิสระจากกฎแห่งกรรมและเปิดโอกาสให้สิ่งใหม่ที่ดีงามกว่าเข้ามาในชีวิต 4 กระตุ้นตัวเองให้เป็นคนที่คุณต้องการจะเป็นและเกิดมาที่จะเป็นหมายถึงได้เวลาแล้วที่คุณจะจุดประกายแสงสว่างเผยความเป็นตัวตนที่แท้จริงของคุณออกมา ศักยภาพที่โดดเด่นของคุณจะดึงดูดสถานการณ์และผู้คนที่ใช่ให้เข้ามาหาคุณในเวลาที่เหมาะสม 5. การเป็นผู้ให้ที่ยิ่งใหญ่ขยายความคือการเป็นผู้ให้ที่เน้นประโยชน์ส่วนรวมโดยไม่ได้คำนึงถึงตัวเองก่อนนั่นเอง ข้อควรปฏิบัติสำหรับผู้ที่เห็นเลข 999 ยอมรับการจัดสรรจากจักรวาลขอให้นึกอยู่เสมอว่า ทุกการกระทำของวันนี้ส่งต่อว่า
wavs_7	มีการติดต่อทางทะเลในระหว่างเบตเตอร์เดอเรเนียน รวมไปถึงกรีซและอเมริกาใต้ คำสอนของท่านได้กระจายไปทั่วสารทิศ ดังที่ปรากฏในกรีก ในตำนานของเทพกรีก ได้ปรากฏชื่อเฮอร์เมส ที่เป็นเทพเจ้าแห่งการสื่อสารระหว่างโรคมนุษย์กับพระเจ้า ซึ่งมีความเชื่อว่าเฮอร์เมดและทอดคือคนคนเดียวกันคำสอนที่เป็นมรดกของท่านทอดหรือเฮอร์เมดที่ปรากฏอยู่ในปัจจุบันเป็นต้นแบบอย่างที่เราได้ศึกษากันคือ แอลเคมีเป็นพื้นฐานของวิทยาศาสตร์ในกระบวนการแปรสภาพจากสิ่งหนึ่งไปสู่อีกสิ่งหนึ่งการเดินรู้เพื่อเข้าใจตัวเองจากภายในซึ่งมีความเกี่ยวโยงกับภายนอกหลายคนจะพูดถึงในเรื่องของการเล่นแลกแปรธาตุจะมาเพิ่มเติมรายละเอียดให้ตอนกดจักรวาลข้อที่สอง
wavs_8	ภาพประกอบหน้า 48 เป็นภาพสีดำ มีรูปดวงดาวและดวงอาทิตย์ และมีข้อความว่า arriving of planet x เมื่อนิบิรุโคจรมาถึงระบบสุริยะ ขอเล่าเพิ่มเติมกับดาวดวงนี้อีกเล็กน้อย นิบิรุหรือ planet x ทำหน้าที่ประดุจเดียวกับกองล่องราชเวรของระบบสุริยจักรวาล ซึ่งมีเส้นวงโคจรที่อยู่ทั้งในและนอกระบบที่บอกว่าเป็นกองราชเวรเพราะวิถีโคจรของดาวดวงนี้จะโคจรย้อนกลับสวนทางเป็นแบบทวนเข็มนาฬิกากับดาวดวงอื่นและเส้นโคจรจะอ้อมด้านหลังดวงอาทิตย์ เราจึงมักเห็นดาวนี้เหมือนดั่งคุณแอบ คือชอบแอบอยู่หลังดวงอาทิตย์เสมอตอนนี้นาซ่าเองได้เปิดเผยการมีอยู่จริงของดาวดวงนี้แล้วล่ะ
wavs_9	ข้อตกลงแบ่งผลประโยชน์กันชัดเจนชาวแอนนูนาคีหรือผู้มาจากฟ้าชาวนิบิรุ ช่วยเพิ่มประชากรและแรงงานธาตุให้แร็ปไทด์ด้วยการสร้างลูกผสมกับเผ่าพื้นเมืองดั้งเดิม ทั้งที่มาจากเมาแดดอย่างบิ๊กฟู้ดเยตติและเอฟมนุษย์วานอน ให้กำเนิดพวกลูกครึ่งที่แข็งแรง ลูกครึ่งเป็นสายพันธุ์ใหม่ รูปร่างใหญ่โต พละกำลังมหาศาลที่เรียกว่า เนฟิลิน ประชากรสายพันธุ์มนุษย์ บอบบาง ไม่เหมาะสำหรับการทำงานหนักในเหมืองทอง ส่วนชนชั้นปกครองหรือผู้คุม เป็งานของ แรพไทยสายพันธุ์ หรือพวกที่ชอบให้เรียกตัวเองว่า ปกครองควบคุมและดูแลกลุ่มลูกครึ่งสายพันธุ์ใหม่ ยานบินอเมริกา
wavs_10	จงอย่าละเลยพวกเขา หนึ่งเจ็ดหนึ่งเจ็ดมาเพื่อช่วยคุณเปลี่ยนพลังงานชีวิตและทำความสำเร็จให้มากขึ้นควรจะถามตัวเองว่าคุณพร้อมหรือยัง หนึ่งเจ็ดหนึ่งเจ็ดสัญลักษณ์ของข่าวดีคำอวยพรและโอกาสใหม่เพื่อให้คุณใช้ภูมิปัญญาที่มีอยู่ให้ได้ประโยชน์สูงสุด นักบินที่ขับเคลื่อนชีวิตของคุณก็คือคุณคนเดียวเท่านั้นคุณคือคนที่เข้าใจความต้องการของตัวเองอย่างแท้จริงขอให้น้อมรับพลังงานศักดิ์สิทธิ์ของคุรุเป็นไกด์ที่ดีของคุณนะคะ โฟกัสไปที่การบรรลุเป้าหมายที่คุณต้องการเพราะผู้ที่ต้องการดึงคนออกจากเป้าหมายสูงสุดนั้นมีเยอะ ขอให้คุณมั่นคงไม่ไขว้เขว ไปตามกระแส หมายเลขนี้มาพร้อมกับความช่วยเหลือจากผู้พิทักษ์ที่จะพาคุณออกจากคอมฟอร์ดโซน เปิดตาของคุณมองสิ่งแวดล้อมให้สังเกตสิ่งแวดล้อม
